id,produto,quantidade,preço,data
66,carro importado,144,89.23,01/01/2023
42,carregador,87,146.86,01/01/2023
93,headset razer,203,10.02,02/01/2023
1,pudim,500,67.44,02/01/2023
2,mousse de marácuja,167,37.88,03/02/2023
46,perfume mácherrie,22,27.54,03/02/2023
76,desodorante rexona,45,34.99,04/02/2023
13,peruca rosa choque,20,300.67,04/03/2023
3,coxa de frango,8,68,05/03/2023
4,kit camisetas,7,150,06/03/2023
12,kit madeira,6,450.99,07/03/2023
11,EVA colorido com glitter,4,20.99,08/04/2023
80,macaneta,142,48.85,09/04/2023
14,tomada,2,176.84,10/04/2023
15,pilha AAA,9,15.2,11/04/2023
16,teclado,5,2340.39,12/04/2023
17,tinta de parede,4,89.29,13/05/2023
18,telha romana,30,116.15,14/05/2023
92,telha portuguesa,25,36.67,15/05/2023
20,iphone,10,47.64,16/06/2023
94,perfume dior,12,162.14,17/06/2023
22,cd bruno mars,8,193.97,18/06/2023
89,album EXO EXODUS,6,189,19/07/2023
24,cd Iron Maiden,4,200,20/07/2023
85,Vinil olivia rodrigo,5,300.99,21/07/2023
86,calendario tematico rosa,7,30.78,22/07/2023
27,cadeira de plastico,6,980.78,23/07/2023
28,sofá tamanho familia,10,2309,24/08/2023
29,pizza congelada queijo,20,45.98,25/08/2023
30,violão,4,780.99,26/08/2023
31,guitarra,8,987.67,27/08/2023
32,sorvete de flocos,2,45,28/08/2023
33,MP3 frutiger,1,200,29/09/2023
34,mousepad,3,111.3,30/09/2023
35,Post-it,2,141.46,31/09/2023
36,caderno tilibra,2,69.95,01/10/24
37,lapis 6B,5,200,01/10/2024
38,kit canetas 0.5,4,90,13/10/2024
39,borracha ben10,6,20,14/10/2024
40,régua,7,13.67,15/10/2024
